DateTime,Entries,UniqueIPs
1538931044,7969,8082
1538944246,8134,8251
1538956844,7341,7456
1538968243,7457,7573
1538981444,7566,7700
1538995242,7447,7579
1539007241,7070,7198
1539019840,6935,7060
1539032441,6647,6768
1539043839,6776,6897
1539057038,6132,6243
1539069039,6094,6201
1539080444,6193,6304
1539090040,6143,6250
1539100241,6150,6258
1539110440,6192,6304
1539121241,6367,6482
1539131440,6356,6472
1539140440,6431,6549
1539150641,6292,6408
1539160840,6236,6351
1539171641,6182,6294
1539181841,6113,6223
1539190851,6063,6171
1539200440,6003,6107
1539211841,6104,6211
1539222641,6143,6250
1539234641,6189,6299
1539247841,6218,6332
1539259242,6363,6482
1539271240,6424,6546
1539283840,6374,6494
1539294639,6350,6469
1539306051,6271,6390
1539317438,6137,6249
1539329439,5972,6074
1539340839,5851,5956
1539352839,5776,5881
1539363638,5735,5836
1539374438,5757,5858
1539384637,5832,5939
1539395437,6005,6113
1539405637,5790,5898
1539415838,5887,6001
1539425438,5725,5840
1539435037,5618,5732
1539444637,5517,5627
1539453639,5354,5463
1539463237,5314,5419
1539472838,5287,5385
1539483638,5267,5360
1539494438,5290,5385
1539505237,5313,5410
1539516039,5573,5681
1539527438,5688,5797
1539536438,5756,5865
1539546039,5905,6017
1539556839,5900,6015
1539567639,5812,5917
1539579638,5681,5776
1539589837,5707,5802
1539600638,5655,5749
1539612037,5424,5512
1539622239,5525,5618
1539632438,5511,5597
1539641438,5398,5482
1539649837,5486,5570
1539660038,5542,5631
1539670238,5661,5750
1539681640,5811,5910
1539691837,5751,5864
1539703237,5666,5780
1539714038,5636,5750
1539723038,5588,5700
1539732038,5490,5602
1539741038,5434,5548
1539750638,5399,5508
1539759638,5312,5416
1539768639,5419,5523
1539778237,5279,5383
1539788441,5335,5439
1539799837,5560,5666
1539811837,5623,5731
1539820836,5756,5862
1539831037,5742,5849
1539841837,5721,5828
1539852636,5667,5772
1539863437,5620,5718
1539873639,5535,5631
1539884436,5331,5403
1539895237,5217,5266
1539905437,5163,5208
1539914437,5167,5213
1539924036,5214,5261
1539935436,5309,5358
1539945039,5304,5352
1539954035,5340,5388
1539964236,5309,5360
1539973835,5259,5311
1539982236,5160,5212
1539991835,5122,5172
1540001435,5033,5082
1540011635,4888,4935
1540020035,4843,4889
1540029636,4937,4983
1540038036,4835,4878
1540047035,4806,4850
1540056036,4841,4885
1540065035,4936,4979
1540073437,5033,5078
1540082437,5210,5255
1540090837,5316,5366
1540099238,5382,5437
1540108837,5344,5397
1540116638,5303,5353
1540123837,5316,5367
1540134037,5263,5315
1540143038,5102,5150
1540152037,5090,5137
1540161037,5077,5125
1540169436,5010,5055
1540178435,5028,5074
1540187436,5131,5178
1540196436,5193,5240
1540206036,5329,5378
1540216836,5381,5430
1540225835,5410,5461
1540234836,5409,5465
1540245036,5366,5423
1540254035,5310,5367
1540263635,5270,5327
1540273235,5204,5260
1540283435,5087,5144
1540292435,4830,4883
1540301435,4925,4978
1540309835,4787,4835
1540318235,4734,4781
1540327237,4755,4802
1540337435,4819,4866
1540345835,4835,4882
1540354835,4860,4907
1540364032,4936,4985
1540372237,4972,5026
1540381235,4916,4971
1540390236,4898,4955
1540399235,4825,4878
1540406435,4850,4903
1540415435,4698,4748
1540423235,4761,4811
1540432235,4747,4797
1540442435,4704,4754
1540450834,4584,4631
1540460436,4638,4688
1540470034,4695,4747
1540479641,4747,4799
1540487447,4825,4877
1540496435,4870,4925
1540506035,4897,4954
1540514437,4904,4961
1540523435,4843,4899
1540532436,4818,4875
1540539635,4847,4904
1540547435,4711,4766
1540554634,4630,4684
1540562435,4539,4592
1540569634,4499,4553
1540576835,4364,4416
1540584634,4412,4464
1540591235,4409,4461
1540598435,4467,4520
1540605635,4494,4547
1540612834,4556,4610
1540621234,4566,4622
1540629034,4647,4704
1540636239,4711,4768
1540643434,4739,4802
1540651834,4728,4790
1540659635,4695,4758
1540667435,4651,4712
1540674034,4599,4659
1540681836,4651,4710
1540688434,4651,4708
1540695635,4613,4669
1540703438,4594,4647
1540710636,4508,4556
1540719035,4484,4532
1540726843,4483,4531
1540735835,4550,4603
1540744834,4598,4651
1540754435,4628,4680
1540762835,4715,4769
1540769435,4788,4844
1540776034,4840,4895
1540785034,4835,4892
1540794634,4821,4878
1540802435,4783,4839
1540810834,4749,4805
1540819235,4647,4704
1540827634,4584,4641
1540836634,4510,4567
1540845035,4433,4490
1540852236,4426,4480
1540858835,4481,4534
1540866636,4533,4589
1540873834,4587,4643
1540879834,4655,4712
1540888235,4701,4759
1540895442,4771,4831
1540903236,4814,4875
1540910434,4805,4867
1540916434,4797,4857
1540924235,4767,4827
1540930835,4806,4866
1540937434,4753,4812
1540944635,4735,4793
1540953034,4610,4659
1540959635,4599,4647
1540966835,4642,4690
1540974634,4568,4616
1540982434,4427,4473
1540990834,4468,4516
1540998634,4536,4587
1541006436,4571,4624
1541013634,4593,4646
1541020235,4684,4739
1541028035,4735,4793
1541035235,4837,4902
1541043634,4859,4923
1541049634,4833,4897
1541056834,4821,4883
1541065235,4739,4800
1541071834,4677,4737
1541079034,4707,4767
1541085634,4562,4618
1541092835,4602,4659
1541100635,4557,4614
1541107234,4437,4491
1541114434,4532,4587
1541121635,4523,4578
1541130033,4536,4591
1541136636,4585,4640
1541143233,4573,4627
1541150436,4664,4718
1541157635,4746,4801
1541164834,4792,4854
1541172635,4815,4879
1541179235,4737,4799
1541186434,4684,4747
1541193636,4709,4773
1541200235,4569,4629
1541208035,4522,4581
1541215834,4552,4612
1541222434,4536,4594
1541230234,4523,4581
1541236234,4398,4454
1541244035,4386,4438
1541251233,4390,4443
1541259034,4463,4518
1541265635,4452,4510
1541272836,4522,4580
1541280035,4577,4635
1541287235,4606,4668
1541294435,4707,4770
1541301634,4720,4786
1541308835,4704,4772
1541316035,4607,4673
1541324434,4570,4634
1541331035,4592,4656
1541338234,4489,4547
1541345435,4454,4514
1541352636,4482,4543
1541359835,4413,4468
1541365836,4375,4430
1541373635,4366,4421
1541380836,4368,4422
1541388634,4434,4488
1541395234,4453,4506
1541402433,4503,4557
1541410236,4551,4608
1541416833,4610,4667
1541425235,4629,4687
1541433634,4641,4701
1541440236,4618,4679
1541446834,4590,4650
1541454035,4543,4600
1541461234,4570,4628
1541467834,4470,4526
1541473833,4499,4555
1541481036,4446,4501
1541488236,4474,4530
1541496035,4358,4412
1541502035,4405,4461
1541508635,4367,4420
1541515234,4351,4405
1541522434,4443,4497
1541530244,5713,5778
1541538644,5926,5993
1541547046,6019,6088
1541553646,6134,6209
1541562044,6159,6233
1541570448,6099,6169
1541578242,6059,6129
1541586641,6040,6109
1541594442,5938,6002
1541603439,5913,5979
1541610041,5923,5988
1541617239,5870,5932
1541624439,5933,5998
1541631039,5838,5901
1541637646,7059,7157
